from_stop_id,to_stop_id,count,per_hour,avg_time,max_time,min_time,lines
702,703,21856,-455.333333333333,00:01:31.703708,00:02:04.908675,00:01:00.170288,"{3,4,51}"
703,704,18839,-392.479166666667,00:01:07.027456,00:01:36.679801,00:00:40.935173,"{3,4,51}"
704,705,21831,-454.8125,00:01:18.932086,00:01:52.278856,00:00:49.167748,"{3,4,51}"
705,706,14836,-309.083333333333,00:01:55.364378,00:02:33.601232,00:01:24.080707,"{3,4}"
705,707,6690,-139.375,00:01:36.455218,00:02:22.548415,00:00:55.09194,{51}
706,6253,15551,-323.979166666667,00:01:20.376768,00:01:48.389611,00:00:57.780871,"{3,4}"
707,2956,6101,-127.104166666667,00:01:13.986104,00:01:43.129087,00:00:46.204688,{51}
722,723,21315,-444.0625,00:01:23.578504,00:02:09.536957,00:00:47.741379,"{3,4,51}"
723,724,21526,-448.458333333333,00:01:20.759641,00:01:53.020962,00:00:54.924266,"{3,4,51}"
724,725,17406,-362.625,00:01:08.932765,00:01:38.5498,00:00:44.464371,"{3,4,51}"
725,726,21606,-450.125,00:01:21.11697,00:01:55.488918,00:00:53.486626,"{3,4,51}"
726,626,13076,-272.416666666667,00:02:27.07137,00:03:09.943899,00:01:24.953651,"{3,4}"
726,6601,5538,-115.375,00:02:39.325394,00:03:19.796953,00:02:03.408376,{51}
801,901,15735,-327.8125,00:01:14.589168,00:01:40.359728,00:00:52.92022,"{7,25}"
806,816,13666,-284.708333333333,00:01:37.408716,00:02:16.90493,00:01:10.918027,"{7,25}"
811,801,14751,-307.3125,00:01:19.723759,00:01:48.553499,00:00:53.461857,"{7,25}"
816,826,13067,-272.229166666667,00:01:21.786794,00:01:57.046956,00:00:57.57653,"{7,25}"
821,811,13476,-280.75,00:01:18.57116,00:01:46.148751,00:00:49.314591,"{7,25}"
826,2241,6978,-145.375,00:02:26.131843,00:03:03.765676,00:01:47.090352,{25}
826,2243,7088,-147.666666666667,00:01:37.845599,00:02:02.468697,00:01:03.673961,{7}
901,5312,15944,-332.166666666667,00:01:15.713214,00:01:40.882814,00:00:53.025917,"{7,25}"
906,806,15021,-312.9375,00:01:10.771304,00:01:44.219618,00:00:42.932227,"{7,25}"
1000,1065,4298,-89.5416666666667,00:01:20.329696,00:01:48.855651,00:00:57.424067,{13}
1000,4065,3750,-78.125,00:01:28.542709,00:02:03.756435,00:00:58.947666,{14}
1000,9103,596,-12.4166666666667,00:01:28.753138,00:01:54.6886,00:01:01.433756,{15}
1002,1734,1616,-33.6666666666667,00:00:20.062368,00:00:34.696479,00:00:15.230698,{54}
1003,4071,2662,-55.4583333333333,00:01:05.234877,00:01:23.2084,00:00:40.120089,{84}
1003,4226,447,-9.3125,00:01:35.304365,00:02:38.520847,00:00:58.456467,"{13,53}"
1004,1060,5231,-108.979166666667,00:01:33.843852,00:02:21.384579,00:00:57.687856,"{13,15}"
1007,1008,4065,-84.6875,00:01:08.636733,00:01:34.587017,00:00:41.740643,"{13,15}"
1007,2801,4479,-93.3125,00:01:32.92144,00:02:19.679473,00:00:59.779673,{53}
1008,1009,4250,-88.5416666666667,00:00:49.745298,00:01:17.833887,00:00:28.645174,"{13,15}"
1009,1010,5478,-114.125,00:00:58.668357,00:01:25.732989,00:00:38.337973,"{13,15}"
1010,1012,775,-16.1458333333333,00:01:39.358708,00:02:04.16311,00:01:18.662694,{15}
1010,1027,2357,-49.1041666666667,00:01:18.95326,00:01:47.807079,00:00:55.566606,{13}
1012,1027,315,-6.5625,00:01:08.985536,00:01:22.846935,00:00:57.41856,{15}
1012,4164,4488,-93.5,00:00:59.77189,00:01:35.366454,00:00:32.791012,{84}
1013,1014,8006,-166.791666666667,00:01:40.99434,00:03:22.848944,00:00:34.68457,"{13,14,15}"
1014,6805,14871,-309.8125,00:01:16.578475,00:01:47.190039,00:00:50.496872,"{13,14,15,19}"
1015,5915,9610,-200.208333333333,00:01:26.849323,00:02:06.857495,00:00:55.43449,"{50,54}"
1016,1024,7020,-146.25,00:01:40.325849,00:02:19.658161,00:01:06.56732,"{14,15,57,88}"
1017,2524,4484,-93.4166666666667,00:01:45.129444,00:02:26.406038,00:01:12.97321,{50}
1019,1020,4195,-87.3958333333333,00:01:20.001209,00:01:55.184791,00:00:54.230082,"{14,15}"
1019,4213,5044,-105.083333333333,00:04:04.993552,00:05:58.290595,00:01:59.953864,{89}
1020,1392,5132,-106.916666666667,00:01:14.283862,00:02:01.749643,00:00:38.528398,"{14,15}"
1024,1083,4611,-96.0625,00:00:54.592336,00:01:37.112821,00:00:22.95783,"{14,15}"
1024,2209,3874,-80.7083333333333,00:01:00.624989,00:01:30.061411,00:00:39.400963,{88}
1026,1080,8027,-167.229166666667,00:01:21.416774,00:02:01.702319,00:00:40.392504,"{13,15,53}"
1027,1013,4418,-92.0416666666667,00:00:48.729522,00:01:10.705556,00:00:25.816815,"{13,14,15}"
1030,1052,4437,-92.4375,00:01:27.046382,00:02:18.800291,00:00:45.980719,"{14,15}"
1043,2037,3978,-82.875,00:01:14.674875,00:01:40.96258,00:00:50.126138,{79}
1043,2084,5638,-117.458333333333,00:01:00.109893,00:01:28.017481,00:00:38.915826,{42}
1044,1109,3890,-81.0416666666667,00:02:08.595742,00:04:01.319104,00:00:39.144208,{53}
1046,5466,6985,-145.520833333333,00:02:05.685534,00:02:52.321742,00:01:27.97595,{94}
