Nom;ID;Latitude;Longitude;Coordonnées
MOUNIER;2039;50.850310;4.457931;50.85031, 4.457931
MOUNIER;2041;50.850255;4.458513;50.850255, 4.458513
MOZART;3814;50.810288;4.305160;50.810288, 4.30516
MUSEE DU TRAM;5273;50.832276;4.432445;50.832276, 4.432445
NAPOLEON;2117;50.779335;4.376366;50.779335, 4.376366
NAPOLEON;2146;50.778688;4.373856;50.778688, 4.373856
NERVIENS;1802;50.838755;4.385732;50.838755, 4.385732
NEUBERGER;4159;50.876065;4.307246;50.876065, 4.307246
OBSERVATOIRE;4854B;50.799876;4.358383;50.799876, 4.358383
ODON WARLAND;5008;50.871141;4.334572;50.871141, 4.334572
ONZE NOVEMBRE;1869;50.832802;4.395936;50.832802, 4.395936
OPPEMSTRAAT;9575;50.825702;4.507120;50.825702, 4.50712
OPTIMISME;3766;50.861978;4.409319;50.861978, 4.409319
OSSEGHEM;8753;50.857079;4.325279;50.857079, 4.325279
OUD KAPELLEKE;2995;50.874332;4.403363;50.874332, 4.403363
OUD KAPELLEKE;3420;50.874341;4.403889;50.874341, 4.403889
OUTRE-PONTS;2307;50.873600;4.360129;50.8736, 4.360129
OUTRE-PONTS;6124;50.873726;4.359092;50.873726, 4.359092
PALAIS;6355F;50.843980;4.360943;50.84398, 4.360943
PALFYN;4261;50.893864;4.326169;50.893864, 4.326169
PARC;3331;50.847297;4.361213;50.847297, 4.361213
PARC LEOPOLD;3159;50.839700;4.380593;50.8397, 4.380593
PARKING 58;2253;50.850505;4.350093;50.850505, 4.350093
PARVIS DE SAINT-GILLES;2465;50.830205;4.344579;50.830205, 4.344579
PASTEUR;2161;50.780341;4.349113;50.780341, 4.349113
PATRIE;2975;50.857129;4.390241;50.857129, 4.390241
PAUL LEDUC;3763;50.860523;4.405398;50.860523, 4.405398
PAULSEN;1207;50.843475;4.300487;50.843475, 4.300487
PAVILLONS MEUDON;3065;50.896015;4.400337;50.896015, 4.400337
PELLENBERG;9729;50.914276;4.435643;50.914276, 4.435643
PERMEKE;3416;50.870897;4.407182;50.870897, 4.407182
PETER BENOIT;2362B;50.895182;4.387459;50.895182, 4.387459
PETIT SABLON;1128;50.839898;4.355876;50.839898, 4.355876
PETIT SABLON;6353;50.839619;4.355847;50.839619, 4.355847
PICARD;1019;50.864060;4.344122;50.86406, 4.344122
PLACE REINE ASTRID;6866F;50.873467;4.325932;50.873467, 4.325932
PLACE SAINT-JOB;5031F;50.793665;4.366525;50.793665, 4.366525
PLACE SAINT-PIERRE;6117;50.837270;4.396066;50.83727, 4.396066
PLACE VICTOR HORTA;2541;50.835048;4.333163;50.835048, 4.333163
POELAERT;6313;50.837012;4.353406;50.837012, 4.353406
STUYVENBERGH;4958F;50.886389;4.342476;50.886389, 4.342476
TAMARIS;3233;50.851039;4.307562;50.851039, 4.307562
TENBOSCH;6407;50.819887;4.359216;50.819887, 4.359216
TERVUREN STATION;9555;50.829875;4.513420;50.829875, 4.51342
THEVENET;5028;50.794725;4.352441;50.794725, 4.352441
THIEFFRY;8202;50.833160;4.401756;50.83316, 4.401756
THIRY-WOLUWE;2028;50.853970;4.443439;50.85397, 4.443439
THUMAS;2029;50.864182;4.456779;50.864182, 4.456779
TIMMERMANS;5810;50.818572;4.340952;50.818572, 4.340952
TREVES;1160;50.841903;4.374701;50.841903, 4.374701
TRIANGLE;3228F;50.849998;4.334530;50.849998, 4.33453
TRINITE;2931F;50.825002;4.357554;50.825002, 4.357554
TRITOMAS;4449;50.810869;4.418469;50.810869, 4.418469
TROIS ARBRES;1928;50.794343;4.334300;50.794343, 4.3343
TROIS ARBRES;1995;50.794092;4.334158;50.794092, 4.334158
TROIS COULEURS;5601;50.821866;4.447474;50.821866, 4.447474
TROIS COULEURS;5659;50.822144;4.447461;50.822144, 4.447461
TRONE;6432;50.840564;4.366211;50.840564, 4.366211
TULIPES;5514;50.844774;4.467008;50.844774, 4.467008
ULB;3513;50.813944;4.384885;50.813944, 4.384885
ULB;5462F;50.813612;4.384346;50.813612, 4.384346
UNION;1230;50.821157;4.325979;50.821157, 4.325979
VALDUC;1720B;50.817413;4.421257;50.817413, 4.421257
VALIDA;1236;50.866256;4.303181;50.866256, 4.303181
VALIDA;1236F;50.866256;4.303153;50.866256, 4.303153
VAN BEETHOVEN;6799F;50.828646;4.292418;50.828646, 4.292418
VAN KALKEN;2226;50.826550;4.304897;50.82655, 4.304897
VAN PRAET;2308;50.881205;4.373115;50.881205, 4.373115
VAN PRAET;5770F;50.881268;4.373599;50.881268, 4.373599
VAN ZANDE;7207;50.860531;4.305760;50.860531, 4.30576
VANDENHOVEN;3176;50.882205;4.407163;50.882205, 4.407163
VANDENHOVEN;3182;50.883165;4.406834;50.883165, 4.406834
VANDERKINDERE;6420F;50.813836;4.348078;50.813836, 4.348078
VANNE;2962;50.829884;4.364026;50.829884, 4.364026
VARIA;1883;50.834136;4.377838;50.834136, 4.377838
VEEWEYDE;8692;50.829658;4.300762;50.829658, 4.300762
VERBOEKHOVEN;5710;50.871379;4.375217;50.871379, 4.375217
VERHEYLEWEGHEN;1522;50.848128;4.425140;50.848128, 4.42514
VERT CHASSEUR;2715;50.802349;4.372923;50.802349, 4.372923
VIADUC E40;2006;50.865694;4.453728;50.865694, 4.453728
VIADUC E40;2015;50.866134;4.453828;50.866134, 4.453828
VICTOR ALLARD;2452;50.800733;4.327330;50.800733, 4.32733
VILVORDE STATION;9784;50.924462;4.432387;50.924462, 4.432387
VIOLETTES;1668;50.840380;4.484703;50.84038, 4.484703
VLEURGAT;7522;50.823498;4.367271;50.823498, 4.367271
VLIERKENS;9627;50.922736;4.413782;50.922736, 4.413782
VOOT;1412;50.840994;4.434956;50.840994, 4.434956
VOOT;2003;50.839843;4.435678;50.839843, 4.435678
VOOT;2064;50.840624;4.436773;50.840624, 4.436773
VTM;9608;50.914183;4.399070;50.914183, 4.39907
WAELHEM;2944;50.870723;4.382860;50.870723, 4.38286
WAELHEM;5805;50.870156;4.382107;50.870156, 4.382107
WATERBURY;9677;50.771319;4.279084;50.771319, 4.279084
WATERLOO WILSON;3219;50.847791;4.381220;50.847791, 4.38122
WERY;3121;50.829389;4.376162;50.829389, 4.376162
WESTLAND SHOPPING;1261;50.838484;4.283940;50.838484, 4.28394
WIELS;5101;50.823845;4.325919;50.823845, 4.325919
WIELS;5123;50.823683;4.326076;50.823683, 4.326076
WIELS;5159F;50.824879;4.326316;50.824879, 4.326316
WOESTE;2575;50.874710;4.333290;50.87471, 4.33329
YPRES;6652;50.855583;4.346214;50.855583, 4.346214
YSER;2199;50.856600;4.353982;50.8566, 4.353982
YSER;2235;50.856447;4.353059;50.856447, 4.353059
ZAMAN - FOREST NATIONAL;1239;50.814081;4.324765;50.814081, 4.324765
ZAVELPUT;2363;50.894607;4.382569;50.894607, 4.382569
PADDOCK;1826;50.832614;4.463859;50.832614, 4.463859
PADUWA;1535;50.859657;4.414232;50.859657, 4.414232
PADUWA;3461;50.859324;4.415637;50.859324, 4.415637
PAGODES;2814;50.895840;4.362783;50.89584, 4.362783
PAGODES;2856B;50.897377;4.358959;50.897377, 4.358959
PALAIS;6310;50.843755;4.360716;50.843755, 4.360716
PALAIS;6355;50.843827;4.360929;50.843827, 4.360929
PALMERSTON;2921;50.846847;4.381972;50.846847, 4.381972
PANNENHUIS;8783;50.873741;4.343165;50.873741, 4.343165
PARC;6356;50.846614;4.362363;50.846614, 4.362363
PARC;8032;50.845760;4.362931;50.84576, 4.362931
PARC;6309F;50.846991;4.362448;50.846991, 4.362448
PARC SENY;2086;50.809130;4.427590;50.80913, 4.42759
PARC VIVES;3609F;50.826152;4.286106;50.826152, 4.286106
PARVIS DE SAINT-GILLES;0704;50.829657;4.346638;50.829657, 4.346638
PATHE;5963;50.803391;4.302218;50.803391, 4.302218
