from_stop_id,to_stop_id,line,departure,arrival
5817,5825,51,2016-03-22 13:04:13.205752,2016-03-22 13:06:13.948298
5825,5826,51,2016-03-22 13:06:13.948298,2016-03-22 13:07:53.118574
5826,5823,51,2016-03-22 13:07:53.118574,2016-03-22 13:09:12.798901
1290,5402,51,2016-03-22 14:09:36.331904,2016-03-22 14:09:57.206668
5402,4209,51,2016-03-22 14:09:57.206668,2016-03-22 14:10:56.609507
4209,5403,51,2016-03-22 14:10:56.609507,2016-03-22 14:11:56.401966
5403,5010,51,2016-03-22 14:11:56.401966,2016-03-22 14:13:16.158963
5010,2869,51,2016-03-22 14:13:16.158963,2016-03-22 14:14:16.061797
2869,5006,51,2016-03-22 14:14:16.061797,2016-03-22 14:15:16.8651
5006,5007,51,2016-03-22 14:15:16.8651,2016-03-22 14:16:35.771877
5007,5008,51,2016-03-22 14:16:35.771877,2016-03-22 14:19:16.06574
5008,5009,51,2016-03-22 14:19:16.06574,2016-03-22 14:20:37.038284
5009,5011,51,2016-03-22 14:20:37.038284,2016-03-22 14:21:56.373379
5011,5015,51,2016-03-22 14:21:56.373379,2016-03-22 14:24:36.170416
5015,5013,51,2016-03-22 14:24:36.170416,2016-03-22 14:25:36.479538
5013,5014,51,2016-03-22 14:25:36.479538,2016-03-22 14:27:15.918824
5014,6651,51,2016-03-22 14:27:15.918824,2016-03-22 14:28:57.122289
6651,6652,51,2016-03-22 14:28:57.122289,2016-03-22 14:30:17.99481
6652,6654,51,2016-03-22 14:30:17.99481,2016-03-22 14:32:17.103361
6654,3223,51,2016-03-22 14:32:17.103361,2016-03-22 14:34:17.046653
3223,6650,51,2016-03-22 14:34:17.046653,2016-03-22 14:35:16.413608
6650,6655,51,2016-03-22 14:35:16.413608,2016-03-22 14:36:36.770607
6655,6656,51,2016-03-22 14:36:36.770607,2016-03-22 14:37:16.661071
6656,6657,51,2016-03-22 14:37:16.661071,2016-03-22 14:39:17.280777
6657,702,51,2016-03-22 14:39:17.280777,2016-03-22 14:41:43.875742
702,703,51,2016-03-22 14:41:43.875742,2016-03-22 14:42:57.827791
703,704,51,2016-03-22 14:42:57.827791,2016-03-22 14:44:18.909512
704,705,51,2016-03-22 14:44:18.909512,2016-03-22 14:45:56.988532
705,707,51,2016-03-22 14:45:56.988532,2016-03-22 14:47:38.147923
707,2956,51,2016-03-22 14:47:38.147923,2016-03-22 14:48:38.034446
2956,5848,51,2016-03-22 14:48:38.034446,2016-03-22 14:49:17.324733
5848,5812,51,2016-03-22 14:49:17.324733,2016-03-22 14:51:58.785658
5812,5813,51,2016-03-22 14:51:58.785658,2016-03-22 14:53:17.227289
5813,5814,51,2016-03-22 14:53:17.227289,2016-03-22 14:54:37.769951
5814,5815,51,2016-03-22 14:54:37.769951,2016-03-22 14:57:39.237534
5815,5816,51,2016-03-22 14:57:39.237534,2016-03-22 14:59:18.144495
5816,1926,51,2016-03-22 14:59:18.144495,2016-03-22 15:00:59.038684
1926,1928,51,2016-03-22 15:00:59.038684,2016-03-22 15:02:58.600856
1928,5817,51,2016-03-22 15:02:58.600856,2016-03-22 15:04:18.493494
5817,5825,51,2016-03-22 15:04:18.493494,2016-03-22 15:05:38.436253
5825,5826,51,2016-03-22 15:05:38.436253,2016-03-22 15:07:38.141791
5826,5823,51,2016-03-22 15:07:38.141791,2016-03-22 15:09:18.034627
1290,5402,51,2016-03-22 14:47:18.707707,2016-03-22 14:47:38.147923
5402,4209,51,2016-03-22 14:47:38.147923,2016-03-22 14:48:58.266636
4209,5403,51,2016-03-22 14:48:58.266636,2016-03-22 14:49:57.624277
5403,5010,51,2016-03-22 14:49:57.624277,2016-03-22 14:51:17.711993
5010,2869,51,2016-03-22 14:51:17.711993,2016-03-22 14:52:18.23907
2869,5006,51,2016-03-22 14:52:18.23907,2016-03-22 14:53:17.227289
5006,5007,51,2016-03-22 14:53:17.227289,2016-03-22 14:54:58.042098
5007,5008,51,2016-03-22 14:54:58.042098,2016-03-22 14:56:38.864504
5008,5009,51,2016-03-22 14:56:38.864504,2016-03-22 14:58:18.699072
5009,5011,51,2016-03-22 14:58:18.699072,2016-03-22 14:59:18.144495
5011,5015,51,2016-03-22 14:59:18.144495,2016-03-22 15:02:17.70992
5015,5013,51,2016-03-22 15:02:17.70992,2016-03-22 15:03:37.803109
5013,5014,51,2016-03-22 15:03:37.803109,2016-03-22 15:04:58.097041
5014,6651,51,2016-03-22 15:04:58.097041,2016-03-22 15:06:39.404108
6651,6652,51,2016-03-22 15:06:39.404108,2016-03-22 15:08:17.900059
6652,6654,51,2016-03-22 15:08:17.900059,2016-03-22 15:10:20.207232
6654,3223,51,2016-03-22 15:10:20.207232,2016-03-22 15:12:38.546662
3223,6650,51,2016-03-22 15:12:38.546662,2016-03-22 15:13:18.459618
6650,6655,51,2016-03-22 15:13:18.459618,2016-03-22 15:14:38.748692
6655,6656,51,2016-03-22 15:14:38.748692,2016-03-22 15:15:38.389651
6656,6657,51,2016-03-22 15:15:38.389651,2016-03-22 15:17:19.067099
6657,702,51,2016-03-22 15:17:19.067099,2016-03-22 15:19:39.092049
702,703,51,2016-03-22 15:19:39.092049,2016-03-22 15:21:19.260688
703,704,51,2016-03-22 15:21:19.260688,2016-03-22 15:22:19.004086
704,705,51,2016-03-22 15:22:19.004086,2016-03-22 15:23:59.832767
705,707,51,2016-03-22 15:23:59.832767,2016-03-22 15:25:39.580083
707,2956,51,2016-03-22 15:25:39.580083,2016-03-22 15:26:59.243215
2956,5848,51,2016-03-22 15:26:59.243215,2016-03-22 15:28:19.206551
5848,5812,51,2016-03-22 15:28:19.206551,2016-03-22 15:31:19.189828
5812,5813,51,2016-03-22 15:31:19.189828,2016-03-22 15:33:19.783576
5813,5814,51,2016-03-22 15:33:19.783576,2016-03-22 15:35:00.101422
5814,5815,51,2016-03-22 15:35:00.101422,2016-03-22 15:38:19.656596
5815,5816,51,2016-03-22 15:38:19.656596,2016-03-22 15:41:08.490269
5816,1926,51,2016-03-22 15:41:08.490269,2016-03-22 15:42:09.821584
1926,1928,51,2016-03-22 15:42:09.821584,2016-03-22 15:43:59.817241
1928,5817,51,2016-03-22 15:43:59.817241,2016-03-22 15:45:19.993189
5817,5825,51,2016-03-22 15:45:19.993189,2016-03-22 15:47:20.79896
5825,5826,51,2016-03-22 15:47:20.79896,2016-03-22 15:48:59.615956
5826,5823,51,2016-03-22 15:48:59.615956,2016-03-22 15:51:00.407601
5402,4209,51,2016-03-22 14:30:37.500925,2016-03-22 14:31:36.407287
4209,5403,51,2016-03-22 14:31:36.407287,2016-03-22 14:32:57.647565
5403,5010,51,2016-03-22 14:32:57.647565,2016-03-22 14:34:17.046653
5010,2869,51,2016-03-22 14:34:17.046653,2016-03-22 14:35:16.413608
2869,5006,51,2016-03-22 14:35:16.413608,2016-03-22 14:36:17.50192
5006,5007,51,2016-03-22 14:36:17.50192,2016-03-22 14:37:56.900673
5007,5008,51,2016-03-22 14:37:56.900673,2016-03-22 14:39:39.029579
5008,5009,51,2016-03-22 14:39:39.029579,2016-03-22 14:41:43.875742
5009,5011,51,2016-03-22 14:41:43.875742,2016-03-22 14:42:38.769953
5011,5015,51,2016-03-22 14:42:38.769953,2016-03-22 14:45:37.249298
5015,5013,51,2016-03-22 14:45:37.249298,2016-03-22 14:46:38.23029
5013,5014,51,2016-03-22 14:46:38.23029,2016-03-22 14:48:18.186055
5014,6651,51,2016-03-22 14:48:18.186055,2016-03-22 14:49:37.304371
6651,6652,51,2016-03-22 14:49:37.304371,2016-03-22 14:51:17.711993
6652,6654,51,2016-03-22 14:51:17.711993,2016-03-22 14:53:17.227289
6654,3223,51,2016-03-22 14:53:17.227289,2016-03-22 14:55:17.824044
3223,6650,51,2016-03-22 14:55:17.824044,2016-03-22 14:56:18.191956
6650,6655,51,2016-03-22 14:56:18.191956,2016-03-22 14:57:39.237534
6655,6656,51,2016-03-22 14:57:39.237534,2016-03-22 14:58:18.699072
6656,6657,51,2016-03-22 14:58:18.699072,2016-03-22 15:00:18.567465
6657,702,51,2016-03-22 15:00:18.567465,2016-03-22 15:02:17.70992
702,703,51,2016-03-22 15:02:17.70992,2016-03-22 15:03:58.908866
703,704,51,2016-03-22 15:03:58.908866,2016-03-22 15:04:58.097041
704,705,51,2016-03-22 15:04:58.097041,2016-03-22 15:06:39.404108
