departure,arrival,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
2016-01-28 15:23:43.102337,2016-01-28 15:47:03.582171,,20.138972,99.756343,79.671439,80.140413,79.92751,60.406492,80.191066,79.610712,83.758953,64.119038,72.331755,99.827923,100.437864,119.800135,120.258356,79.808705,80.294158
2016-01-28 15:29:42.737014,2016-01-28 15:52:03.488254,,20.366834,79.868748,68.022064,91.989073,80.335672,59.990207,99.673597,80.42156,81.248925,58.4811,80.203042,80.141472,99.690521,100.199522,80.089898,79.969005,100.06
2016-01-28 15:36:03.611503,2016-01-28 15:58:03.722014,,19.698109,99.673597,80.42156,81.248925,58.4811,80.203042,59.778223,100.171954,80.294158,79.808533,60.270837,80.074031,99.871101,100.059852,80.183325,80.090985,79.781179
2016-01-28 15:42:23.220952,2016-01-28 16:05:04.083232,,19.995174,79.899933,100.171954,60.019622,80.660105,79.693801,59.766713,100.06,80.174124,80.10717,60.055429,100.029288,80.06812,99.719828,80.469683,80.023725,119.947611
2016-01-28 15:48:43.458945,2016-01-28 16:11:44.432981,,20.000304,79.969005,80.182931,140.05534,80.183325,80.090985,59.797492,100.115857,79.559128,80.678987,100.152661,59.857566,100.279374,79.703421,80.327624,60.916354,99.103682
2016-01-28 15:57:43.738327,2016-01-28 16:18:24.198421,,19.983687,80.13217,79.559128,60.698584,80.023725,79.929629,60.071558,80.32219,59.626323,80.327624,79.822628,80.197408,100.065518,99.685279,60.289497,80.060813,59.664333
2016-01-28 16:03:04.135621,2016-01-28 16:26:04.536104,,40.109339,99.891848,80.32219,99.941606,59.833032,60.001937,80.197408,79.983619,79.840526,100.216149,60.154315,59.893915,119.657984,100.618989,120.091871,59.959179,79.686576
2016-01-28 16:09:04.412945,2016-01-28 16:32:05.001505,,19.820691,80.052101,80.121257,80.091505,99.685279,60.289497,60.154315,79.570831,80.361196,80.262518,59.883434,100.18478,79.950344,119.959597,80.565667,59.477888,160.15766
2016-01-28 16:14:24.257126,2016-01-28 16:37:45.348138,,39.926652,100.395591,79.942136,80.206067,79.894285,60.176621,79.876103,100.174947,79.686576,60.264186,80.565667,79.702096,139.933452,80.089849,80.184564,59.917653,120.154567
2016-01-28 16:21:44.798478,2016-01-28 16:29:04.798474,,19.907091,100.18478,79.950344,100.09031,60.055499,79.811972,,,,,,,,,,,
2016-01-28 16:32:05.001505,2016-01-28 16:48:45.700882,,,,,,80.089849,80.184564,99.987262,80.084958,60.097636,59.967094,79.995019,79.995852,100.013323,80.210927,59.845381,80.465418,59.762094
2016-01-28 16:32:05.001505,2016-01-28 16:44:25.675766,,,,,,,,,,80.089849,80.184564,59.917653,120.154567,80.089499,100.031123,80.084192,59.637709,80.485105
2016-01-28 16:34:45.275918,2016-01-28 16:57:46.054161,,59.917653,60.068297,80.184952,79.754019,80.267921,59.885314,79.836587,80.485105,99.551829,80.403448,80.069839,80.221799,159.758761,20.429367,79.749349,80.303414,119.890589
2016-01-28 16:39:45.412868,2016-01-28 17:04:46.147592,,60.055892,59.885314,60.13405,79.928938,80.210927,59.845381,80.465418,80.242577,119.624145,99.875932,20.429367,79.749349,100.303324,99.890679,140.287563,219.85027,59.955598
2016-01-28 16:45:25.627989,2016-01-28 17:09:26.558533,,39.599606,100.711193,80.242577,119.624145,20.235761,79.640171,100.178716,60.036669,80.12955,60.027784,140.287563,39.856262,79.961222,140.244278,80.355996,119.773678,100.025373
2016-01-28 16:52:45.681442,2016-01-28 16:57:46.054161,,20.429367,139.786018,40.266655,99.890679,,,,,,,,,,,,,
2016-01-28 17:00:06.341724,2016-01-28 17:23:27.341566,,,,100.046346,59.921139,79.703138,100.747135,79.784402,59.529413,80.485236,80.178906,99.925206,40.264416,119.956937,119.992758,80.194431,120.096653,180.173726
2016-01-28 17:00:06.341724,2016-01-28 17:16:06.578307,,,,,,,,100.046346,119.803924,40.211492,80.355996,79.784402,79.65617,100.301506,100.200806,100.270021,99.911611,59.694309
2016-01-28 17:05:06.174391,2016-01-28 17:20:27.167840,,40.585091,79.784402,79.65617,60.358479,80.178906,99.925206,60.309742,79.553581,80.052339,80.225798,80.115755,100.24798,,,,,
