departure,arrival,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2015-12-07 12:50:35.559770,2015-12-07 13:10:15.907176,,,,,39.930177,39.992517,40.035181,139.97948,80.094677,119.9198,100.102236,19.961709,59.989708,80.025044,59.947389,60.049215,139.947352,60.080302,140.292619,,,,,,,,,,,,
2015-12-07 13:26:15.624773,2015-12-07 14:00:55.759578,,20.078368,39.932712,19.983944,60.123009,39.89979,20.049128,120.010116,79.975715,39.967091,100.04921,19.958022,80.000058,79.987069,40.064771,60.310834,99.640532,60.006262,99.997989,80.051261,60.033793,139.997884,39.961312,40.015754,59.940984,60.118211,99.953767,59.954868,60.075602,160.048507,139.948242
2015-12-07 13:16:15.576006,2015-12-07 13:42:55.637433,,,,,,,,,,,,,,,,,160.064145,20.188684,99.796279,100.033107,140.006497,139.971135,120.006743,81.09962,58.959624,79.975715,39.967091,100.04921,79.945754,260.006939,119.990884
2015-12-07 13:16:15.576006,2015-12-07 13:29:35.691724,,,,,,,,,,,,,,,,,,,,,,,39.98928,120.074865,60.036611,40.212631,119.768828,59.960021,80.046476,139.971135,140.055871
2015-12-07 13:18:55.640151,2015-12-07 13:54:55.687227,,,,,,,,79.975164,79.997777,139.974098,100.034936,40.002647,60.01108,100.003235,101.103128,38.862764,160.07095,159.96368,79.945883,80.05783,140.011819,79.982291,100.068996,79.95286,80.027439,60.99128,39.064323,79.977066,40.005417,99.946802,140.015611
2015-12-07 13:36:35.639610,2015-12-07 14:16:35.803805,,20.012326,40.109797,19.82376,40.030793,80.398324,59.631939,80.005971,100.74664,99.311494,99.976074,60.99128,39.064323,99.897788,40.020262,80.011235,100.062943,140.010064,79.942155,40.124558,79.972469,159.927365,120.033605,39.999545,120.055728,59.961784,59.980375,120.03912,20.074893,200.982939,98.964646
2015-12-07 13:48:35.714440,2015-12-07 14:28:15.928237,,20.027891,39.961312,40.015754,19.920722,60.015283,20.093126,119.983831,59.954868,139.999728,80.124381,79.972469,59.975773,99.951592,40.103838,39.930875,180.073831,120.001078,79.968344,80.067084,99.923723,79.990597,80.003427,100.043042,79.923484,60.028304,60.156837,139.858988,20.011238,160.019284,120.113093
2015-12-07 14:13:55.746430,2015-12-07 14:44:35.861809,,20.039748,41.052981,38.999413,19.935395,79.98266,20.060382,120.030328,59.9458,100.023647,79.979076,60.019153,59.972673,80.145059,39.95422,79.909897,120.061645,119.962197,120.004016,120.243808,79.849767,240.02954,79.902749,60.011225,,,,,,,
2015-12-07 14:04:15.770596,2015-12-07 14:47:15.876257,,,,,39.949993,120.099125,39.97736,99.945133,80.018019,120.080152,79.906052,80.053117,80.004258,79.985978,59.95071,80.06906,120.007231,79.979076,100.042401,119.927048,100.031553,99.958815,120.091488,79.986371,160.073123,60.005082,120.009389,99.939709,60.086996,99.834869,200.093553
2015-12-07 14:25:35.787686,2015-12-07 15:10:35.883114,,20.032243,60.112816,39.95422,19.919073,59.990824,40.039331,99.984391,80.026581,139.977555,80.101134,79.985887,59.964468,140.024728,59.959761,99.989886,120.126177,79.872151,120.003802,160.006171,139.983697,120.014125,140.063636,39.969813,100.014382,59.986629,80.024969,120.004857,79.974195,100.033386,159.95454
2015-12-07 15:00:55.885597,2015-12-07 15:03:15.905698,,20.014983,59.992206,20.097393,39.915519,,,,,,,,,,,,,,,,,,,,,,,,,,
2015-12-07 14:38:35.876209,2015-12-07 15:15:35.969341,,,40.02394,39.966572,39.954151,80.039826,60.128325,99.872786,60.114952,99.899496,79.997113,60.03339,59.999531,139.956141,40.057724,99.979339,119.972289,60.048559,100.013119,99.957705,80.024969,60.033614,119.993943,59.97014,80.01164,59.942751,80.01489,80.071214,39.980932,79.972244,100.061837
2015-12-07 14:46:55.848912,2015-12-07 14:53:55.842582,,,,,,,,,,,,,,,,,,,,,,,,,,,60.051144,100.006704,19.992934,99.959191,139.983697
2015-12-07 14:49:35.906760,2015-12-07 15:36:36.157751,,,59.999531,59.952594,19.987846,100.073425,59.97142,159.980208,60.048559,120.011781,99.953896,60.030116,120.004857,60.0227,39.964042,80.020839,159.95454,140.086671,99.937025,120.137676,79.822019,80.137348,79.965267,40.447283,120.943308,79.760386,138.892693,100.015245,60.081455,159.945231,260.10303
2015-12-07 15:13:35.895182,2015-12-07 16:02:56.275534,,20.012322,39.999306,60.062531,60.075145,79.822019,40.188809,100.000298,199.944768,120.277195,140.451067,39.299393,80.002728,140.023958,40.017379,100.098592,199.86208,120.101575,120.027434,179.870693,79.989777,140.008742,139.969325,40.074523,100.070098,100.100321,79.966883,120.056233,99.945839,120.039266,60.022053
2015-12-07 15:04:55.920993,2015-12-07 15:43:16.129958,,,,,,,,60.0227,79.928642,80.029753,100.00461,40.05953,80.026444,79.90251,60.011628,60.062531,160.121722,119.964549,100.129028,139.807623,100.069884,179.918092,100.276314,99.798168,40.017379,79.974673,100.095474,99.909111,100.22613,119.743289,120.109181
2015-12-07 15:27:56.728642,2015-12-07 15:58:16.268376,,,39.299393,40.036062,39.966666,60.029057,79.994901,40.017379,140.045007,120.036991,120.12339,39.856859,59.829147,120.170043,99.90951,99.979204,100.063685,79.953856,99.960526,140.144621,100.100321,19.971104,120.062876,59.989136,,,,,,,
2015-12-07 15:40:55.963494,2015-12-07 16:22:36.431217,,,40.248439,19.949848,59.971756,119.898937,20.040242,59.949535,60.160842,100.154921,119.662304,60.049493,80.095128,180.067204,80.035479,80.122348,179.883511,99.997175,120.109581,159.91436,40.053968,60.021365,79.935178,80.028281,100.002312,39.98732,140.032437,39.99939,60.023011,140.308435,79.764923
2015-12-07 15:51:16.037519,2015-12-07 16:34:56.596189,,,60.029926,20.007649,80.137457,40.004086,39.999727,120.062876,59.989136,99.945839,120.039266,21.057446,78.939729,120.109581,59.892883,140.075445,159.985676,79.964473,120.024307,140.032437,100.022401,140.308435,59.691993,80.094088,119.959394,100.167997,79.957461,99.960562,40.012706,99.972148,140.113546
