departure,arrival,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
2016-03-02 13:54:20.516267,2016-03-02 14:00:00.826750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00414,120.149143,80.070392,100.086808,
2016-03-02 14:01:00.879903,2016-03-02 14:49:03.236855,,,,,,,280.604499,99.317349,100.316496,80.045576,80.577468,79.787012,119.851324,60.438234,79.752037,120.016403,80.131701,80.230691,140.127833,120.13701,239.700667,99.87943,40.127152,140.223118,79.910836,60.233368,83.052976,77.227032,59.92874,80.180732,79.897536,20.27356,80.043019,99.926097,120.419056,
2016-03-02 14:06:41.621395,2016-03-02 14:27:41.812560,,,,,,,259.476509,60.161629,80.486136,79.65174,180.187606,59.910512,100.238209,120.296192,80.004412,99.762402,140.015818,,,,,,,,,,,,,,,,,,,
2016-03-02 14:06:41.621395,2016-03-02 14:22:01.948693,,,,,,,,,,,,,,,,,,,,,,,,,179.384808,120.735088,79.787012,99.869106,61.25503,98.917459,59.963915,19.961714,80.339457,60.101042,60.012667,
2016-03-02 14:14:21.300666,2016-03-02 15:00:03.457530,,,,,,,,140.382064,39.887168,79.925629,100.238209,100.214957,100.085647,119.640476,60.050829,80.337295,139.851263,140.006582,100.351905,139.96208,140.308009,80.000579,60.027599,140.004166,60.356658,79.708844,180.59623,80.457244,79.477936,160.065373,39.973507,59.892943,59.896128,120.1377,60.319844,
2016-03-02 14:20:21.733736,2016-03-02 15:10:43.780596,,,,,,,200.300604,160.179196,79.599024,79.948357,120.029659,140.430093,80.041236,99.792834,60.233368,140.263457,79.945291,160.078268,60.356658,120.043744,220.718574,79.477936,59.610879,140.428001,119.789071,60.243583,80.295707,119.937641,40.013701,79.984051,60.155894,59.828427,80.162095,140.111745,100.047766,
2016-03-02 14:26:41.725645,2016-03-02 15:11:43.794708,,,,,,,300.083178,120.129314,40.334553,99.918438,120.136694,100.223742,100.019393,140.004166,100.316579,80.083823,100.553404,139.444848,99.899088,100.353195,99.832665,79.941261,60.243583,100.102189,100.131159,59.937752,120.215894,119.899023,60.081003,260.184119,,,,,,
2016-03-02 14:30:01.850939,2016-03-02 14:48:23.528929,,,,,,,,,,,,,,,,,,,40.506416,159.863314,119.838173,100.16496,60.10402,100.223742,100.019393,60.10663,79.897536,100.316579,59.986266,120.650961,,,,,,
2016-03-02 14:36:22.054739,2016-03-02 15:11:23.991523,,,,,,,160.48804,160.037029,40.097779,79.897536,100.316579,39.748923,80.170884,100.425346,80.457244,99.423797,140.119512,179.98563,99.914648,180.352932,140.139945,99.951507,60.043267,120.107493,59.976096,80.282597,,,,,,,,,,
2016-03-02 14:45:43.167019,2016-03-02 15:11:43.794708,,,,,,,99.64449,139.995498,40.887092,59.183235,79.90558,120.475544,79.8454,120.139711,100.102189,120.089749,59.936925,140.712076,79.445078,160.203244,160.061878,,,,,,,,,,,,,,,
2016-03-02 14:50:23.694099,2016-03-02 15:05:23.458990,,,,,,,179.440236,120.003403,59.923452,80.156342,79.920154,140.339231,59.937752,120.215894,59.828427,,,,,,,,,,,,,,,,,,,,,
2016-03-02 14:57:23.223038,2016-03-02 15:11:43.794708,,,,,,,240.253879,119.997752,60.155894,79.88017,120.214151,99.993641,140.076183,,,,,,,,,,,,,,,,,,,,,,,
2016-03-02 14:58:43.522667,2016-03-02 15:11:23.991523,,,100.01315,99.954801,79.984051,80.129472,260.128689,59.976096,80.282597,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-02 14:59:03.137686,2016-03-02 15:11:23.991523,,,,,,,,,,,,,,,,,,,,,,80.398131,139.836615,140.712076,79.445078,60.081003,120.107936,120.272998,,,,,,,,
2016-03-02 15:13:44.177630,2016-03-02 15:24:04.529083,,,,,,,,,,,59.729156,100.275383,59.86027,79.768907,120.522199,160.211817,39.983721,,,,,,,,,,,,,,,,,,,
2016-03-02 15:13:44.177630,2016-03-02 15:24:24.520508,,,,,,,,,,,,,,,,179.916918,60.124269,180.114728,59.98696,160.200003,,,,,,,,,,,,,,,,
2016-03-02 15:13:44.177630,2016-03-02 15:23:24.545362,,,,,,,,,,,,,,,,,,,19.605813,260.324079,140.226023,80.014101,80.197716,,,,,,,,,,,,,
2016-03-02 15:13:44.177630,2016-03-02 15:23:24.545362,,,,,,,,,,,,,,,,,,,,,,,59.729156,100.275383,99.894447,80.12874,80.128189,100.06328,60.148537,,,,,,,
2016-03-02 15:13:44.177630,2016-03-02 15:22:04.347646,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.664038,120.340501,19.912379,60.124269,80.017623,120.04891,60.062296,
2016-03-02 15:13:44.177630,2016-03-02 15:19:44.126810,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.664038,20.065118,60.15789,60.029872,100.012974,80.019288,
2016-03-02 15:14:43.906786,2016-03-02 15:23:44.567204,,,,,,,220.200736,140.226023,19.951805,80.111475,80.170379,,,,,,,,,,,,,,,,,,,,,,,,,
2016-03-02 15:18:04.076616,2016-03-02 15:24:04.529083,,,,,,,,,,,,,,,,,,,,,,80.12874,80.128189,100.06328,100.132258,,,,,,,,,,,
2016-03-02 15:25:44.596517,2016-03-02 15:30:44.652505,,,,,,,,,,,,,39.982599,80.035107,60.087799,119.950483,,,,,,,,,,,,,,,,,,,,
2016-03-02 15:25:44.596517,2016-03-02 15:30:44.652505,,,,,,,,,,,,,,,,,,,,,,,,39.982599,60.088027,59.84826,140.137102,,,,,,,,,
2016-03-02 15:25:44.596517,2016-03-02 15:29:45.142828,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.982599,40.02672,60.042278,100.494714,,
2016-03-02 15:31:44.762441,2016-03-02 16:14:26.821128,,,,,,,,,,119.991945,60.408595,119.715452,120.731324,80.957543,158.855484,79.813616,120.275441,139.905516,120.262981,79.932907,140.287299,99.999965,79.765291,100.34685,80.145155,79.7305,80.374738,120.0845,59.95791,140.176697,80.137567,39.908394,80.918609,99.1612,80.213208,
2016-03-02 15:31:44.762441,2016-03-02 16:09:26.619717,,,,,,,,,,,,,,141.173577,79.127937,139.807638,100.315987,100.082771,120.04317,120.019731,140.246157,120.028747,60.072182,160.153517,121.072181,79.408237,79.392424,120.441951,60.043035,120.07136,60.110842,79.711746,80.232226,140.459931,39.841929,
2016-03-02 15:31:44.762441,2016-03-02 16:03:06.117221,,,,,,,,,,,,,,,,,,119.991945,140.047151,220.571852,139.827288,60.112844,80.019606,100.178714,99.986855,60.037583,100.144059,140.844317,19.3092,121.072181,58.798735,59.961029,60.253349,240.05138,60.146692,
2016-03-02 15:31:44.762441,2016-03-02 15:50:25.680338,,,,,,,,,,,,,,,,,,,,,180.40054,79.638556,80.198025,60.186956,60.001062,41.37972,78.622781,100.12344,80.019606,60.093958,40.084756,20.096878,59.97069,120.028747,60.072182,
2016-03-02 15:31:44.762441,2016-03-02 15:48:05.446589,,,,,,,,,,,,,,,,,,,,,,,,40.034154,79.957791,60.408595,99.958379,99.939708,61.000176,139.128837,40.010596,60.112844,80.019606,140.133618,79.979844,
2016-03-02 15:31:44.762441,2016-03-02 15:41:25.190081,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.148866,120.251674,39.900974,79.814478,40.121129,161.567738,78.622781,
2016-03-02 15:32:44.911307,2016-03-02 16:27:07.423655,,,59.843079,120.13852,59.985527,80.182635,180.209283,140.172227,59.890549,100.178714,60.146691,99.877747,100.144059,120.133836,59.954594,159.936003,59.961029,100.34685,120.179033,200.070914,140.05526,140.459931,39.841929,120.827003,79.100561,60.209232,79.844864,120.119965,80.102895,100.322001,40.143811,39.722416,100.055115,159.947433,80.408642,
2016-03-02 15:38:25.186518,2016-03-02 15:57:05.665800,,,,,,,,127.914084,92.100075,60.112844,100.177049,100.118149,59.97069,79.95687,40.071877,220.225699,60.066689,179.765256,,,,,,,,,,,,,,,,,,
2016-03-02 15:44:25.333127,2016-03-02 16:27:27.186631,,,,,,,100.178714,160.024438,59.993084,120.083882,60.91141,119.687745,100.101873,139.698377,60.135998,99.739657,80.374738,220.054814,140.459931,160.668932,99.1612,80.213208,59.86235,140.151772,120.253319,39.813203,99.985506,140.215839,59.776163,120.307351,,,,,,
2016-03-02 15:47:45.498696,2016-03-02 16:27:47.175544,,,,,,,100.10946,100.097742,59.963021,80.099849,101.137268,118.759764,120.399485,100.126398,79.778846,160.377014,160.085764,180.195328,99.884606,140.307887,159.900214,80.102895,80.264332,79.9403,120.038711,20.987668,138.959765,120.160531,,,,,,,,
2016-03-02 15:55:06.906036,2016-03-02 16:27:07.423655,,,,,,,179.013113,100.229499,79.852996,59.968885,80.107682,80.269332,99.970314,140.459931,39.841929,139.987162,160.214249,119.929923,120.073186,199.968751,140.312911,99.909114,80.408642,,,,,,,,,,,,,
2016-03-02 15:59:46.148648,2016-03-02 16:27:47.175544,,,60.043035,120.07136,60.110842,59.973658,320.180568,119.98513,40.03404,160.136197,140.151772,120.253319,79.9403,80.071024,39.967687,120.007587,160.100377,,,,,,,,,,,,,,,,,,,
2016-03-02 16:04:27.292236,2016-03-02 16:13:46.756513,,,,,,,,,,,,,,,,,,,,,,119.025621,80.099977,100.201883,79.937379,79.956145,100.243272,,,,,,,,,
2016-03-02 16:13:06.607920,2016-03-02 16:26:47.377824,,,,,,,,,,,80.213208,99.89872,140.104389,80.264332,60.20148,99.809844,140.134314,120.143617,,,,,,,,,,,,,,,,,,
2016-03-02 16:13:46.756513,2016-03-02 16:27:47.175544,,,,,,,99.926965,140.151772,39.988987,100.322001,179.921342,100.166627,179.941337,,,,,,,,,,,,,,,,,,,,,,,
2016-03-02 16:15:26.683478,2016-03-02 16:24:27.103117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60.067573,120.073186,40.353468,59.968533,59.882631,120.038711,80.035537,
2016-03-02 16:29:07.287657,2016-03-02 17:04:09.025782,,,,,,,,,,,,,,20.108335,41.034104,179.125598,80.038166,120.016836,120.151072,120.999736,100.015023,119.092839,80.107082,100.236564,120.23424,79.891443,100.052946,160.106138,40.055598,119.988595,40.068618,80.133358,59.968685,140.129108,80.184041,
2016-03-02 16:29:07.287657,2016-03-02 16:38:27.761768,,,,,,,,,,,,,,,,,,80.107428,100.050246,260.165365,120.151072,,,,,,,,,,,,,,,
2016-03-02 16:29:07.287657,2016-03-02 16:57:28.541972,,,,,,,,,,,,,,,,,,,,180.157674,180.490436,119.963817,79.862184,240.264885,80.870419,59.266561,100.269389,119.775057,59.931862,120.128111,40.123589,40.048233,120.057905,120.093086,39.951107,
2016-03-02 16:29:07.287657,2016-03-02 16:46:28.433022,,,,,,,,,,,,,,,,,,,,,,,,,61.142439,79.013194,180.15057,120.016836,120.151072,120.999736,19.013605,81.001418,59.089415,120.124216,80.442864,
2016-03-02 16:29:27.395992,2016-03-02 16:38:27.761768,,,,,,,,59.999093,60.048205,100.112404,80.038166,120.016836,120.151072,,,,,,,,,,,,,,,,,,,,,,,
